mode,attempts_per_second,medium_expected_seconds,medium_success_rate,medium_successful_users,medium_total_users,medium_worst_seconds,strong_expected_seconds,strong_success_rate,strong_successful_users,strong_total_users,strong_worst_seconds,time_to_first_success_ms,total_attempts,weak_expected_seconds,weak_success_rate,weak_successful_users,weak_total_users,weak_worst_seconds
brute__account_lock__argon2,4.114143570024004,213604.60203747157,0.0,0,10,427209.20407494315,5.888700670661973e+27,0.0,0,10,1.1777401341323947e+28,405.818,4398,2430.639531605275,1.0,10,10,4861.27906321055
brute__account_lock__argon2_pepper,4.142738937473761,212130.1905004643,0.0,0,10,424260.3810009286,5.848053755174247e+27,0.0,0,10,1.1696107510348494e+28,665.061,4523,2413.861976564227,1.0,10,10,4827.723953128454
brute__account_lock__bcrypt,2.3649571797176234,371592.35166571976,0.0,0,10,743184.7033314395,1.024414319539295e+28,0.0,0,10,2.04882863907859e+28,1833.104,2605,4228.4063685220735,0.9,9,10,8456.812737044147
brute__account_lock__bcrypt_pepper,2.386176334289132,368287.95398383844,0.0,0,10,736575.9079676769,1.0153046802057684e+28,0.0,0,10,2.030609360411537e+28,1647.499,2574,4190.80512043512,0.9,9,10,8381.61024087024
brute__account_lock__sha_pepper,5.29792827276215,165876.16040747662,0.0,0,10,331752.32081495324,4.5729120427236224e+27,0.0,0,10,9.145824085447245e+27,0.062,5564,1887.530273184759,1.0,10,10,3775.060546369518
brute__account_lock__sha_plain,5.2974436237509295,165891.33597570093,0.0,0,10,331782.67195140186,4.573330406269762e+27,0.0,0,10,9.146660812539524e+27,0.067,5564,1887.7029583033786,1.0,10,10,3775.4059166067573
brute__account_lock__sha_salt,5.297884864505581,165877.51951495325,0.0,0,10,331755.0390299065,4.572949510910323e+27,0.0,0,10,9.145899021820647e+27,0.06499999999999999,5564,1887.5457386772105,1.0,10,10,3775.091477354421
brute__account_lock__sha_salt_pepper,5.297899569256579,165877.05910841125,0.0,0,10,331754.1182168225,4.5729368183171537e+27,0.0,0,10,9.145873636634307e+27,0.067,5564,1887.5404996405466,1.0,10,10,3775.080999281093
brute__captcha__argon2,3.7676894020223037,233246.40282935873,0.0,0,10,466492.80565871747,6.43019034079513e+27,0.0,0,10,1.286038068159026e+28,980.6089999999999,3992,2654.146595691383,0.9,9,10,5308.293191382766
brute__captcha__argon2_pepper,4.242710931869755,207131.71698754278,0.0,0,10,414263.43397508556,5.710254690701546e+27,0.0,0,10,1.1420509381403092e+28,529.774,4383,2356.983579739904,1.0,10,10,4713.967159479808
brute__captcha__bcrypt,1.8896334320820818,465063.7446817922,0.0,0,10,930127.4893635844,1.2820984000746462e+28,0.0,0,10,2.5641968001492924e+28,3484.1220000000003,2098,5292.031687321259,0.7,7,10,10584.063374642517
brute__captcha__bcrypt_pepper,1.8261537947578566,481230.00511932606,0.0,0,10,962460.0102386521,1.326665917708888e+28,0.0,0,10,2.653331835417776e+28,4218.1410000000005,2018,5475.990044598612,0.7,7,10,10951.980089197225
